Country;Year;Series;Capital city;Value
Angola;2010;Rural population(percent growth rate per annum);;1.8
Angola;2010;Capital city population(thousands) ;Luanda;5300
Angola;2010;Capital city population(as a percentage of total population);Luanda;22.7
Angola;2010;Capital city population(as a percentage of total urban population);Luanda;37.9
Angola;2015;Urban population(percent);;63.4
Angola;2015;Urban population(percent growth rate per annum);;4.7
Angola;2015;Rural population(percent growth rate per annum);;1.6
Angola;2015;Capital city population(thousands) ;Luanda;7023
Angola;2015;Capital city population(as a percentage of total population);Luanda;25.2
Angola;2015;Capital city population(as a percentage of total urban population);Luanda;39.7
Angola;2018;Urban population(percent);;65.5
Angola;2018;Capital city population(thousands) ;Luanda;7774
Anguilla;2005;Urban population(percent);;100.0
Anguilla;2005;Urban population(percent growth rate per annum);;2.6
Anguilla;2005;Rural population(percent growth rate per annum);;0.0
Anguilla;2010;Urban population(percent);;100.0
Anguilla;2010;Urban population(percent growth rate per annum);;1.7
Anguilla;2010;Rural population(percent growth rate per annum);;0.0
Anguilla;2015;Urban population(percent);;100.0
Anguilla;2015;Urban population(percent growth rate per annum);;1.2
Anguilla;2015;Rural population(percent growth rate per annum);;0.0
Anguilla;2018;Urban population(percent);;100.0
Anguilla;2018;Capital city population(thousands) ;The Valley;1
Antigua and Barbuda;2005;Urban population(percent);;29.2
Antigua and Barbuda;2005;Urban population(percent growth rate per annum);;-0.6
Antigua and Barbuda;2005;Rural population(percent growth rate per annum);;2.2
Antigua and Barbuda;2010;Urban population(percent);;26.2
Antigua and Barbuda;2010;Urban population(percent growth rate per annum);;-1.0
Antigua and Barbuda;2010;Rural population(percent growth rate per annum);;2.0
Antigua and Barbuda;2015;Urban population(percent);;25.0
Antigua and Barbuda;2015;Urban population(percent growth rate per annum);;0.1
Antigua and Barbuda;2015;Rural population(percent growth rate per annum);;1.4
Antigua and Barbuda;2018;Urban population(percent);;24.6
Antigua and Barbuda;2018;Capital city population(thousands) ;Saint John's;21
Argentina;2005;Urban population(percent);;90.0
Argentina;2005;Urban population(percent growth rate per annum);;1.3
Argentina;2005;Rural population(percent growth rate per annum);;-0.6
Argentina;2005;Capital city population(thousands) ;Buenos Aires;13330
Argentina;2005;Capital city population(as a percentage of total population);Buenos Aires;34.1
Argentina;2005;Capital city population(as a percentage of total urban population);Buenos Aires;37.8
Argentina;2010;Urban population(percent);;90.8
Argentina;2010;Urban population(percent growth rate per annum);;1.2
Argentina;2010;Rural population(percent growth rate per annum);;-0.7
Argentina;2010;Capital city population(thousands) ;Buenos Aires;14246
Argentina;2010;Capital city population(as a percentage of total population);Buenos Aires;34.6
Argentina;2010;Capital city population(as a percentage of total urban population);Buenos Aires;38.0
Argentina;2015;Urban population(percent);;91.5
Argentina;2015;Urban population(percent growth rate per annum);;1.2
Argentina;2015;Rural population(percent growth rate per annum);;-0.4
Argentina;2015;Capital city population(thousands) ;Buenos Aires;14706
Argentina;2015;Capital city population(as a percentage of total population);Buenos Aires;33.9
Argentina;2015;Capital city population(as a percentage of total urban population);Buenos Aires;37.0
Argentina;2018;Urban population(percent);;91.9
Argentina;2018;Capital city population(thousands) ;Buenos Aires;14967
Armenia;2005;Urban population(percent);;63.9
Armenia;2005;Urban population(percent growth rate per annum);;-0.8
Armenia;2005;Rural population(percent growth rate per annum);;-0.2
Armenia;2005;Capital city population(thousands) ;Yerevan;1087
Armenia;2005;Capital city population(as a percentage of total population);Yerevan;36.5
Armenia;2005;Capital city population(as a percentage of total urban population);Yerevan;57.0
Armenia;2010;Urban population(percent);;63.4
Armenia;2010;Urban population(percent growth rate per annum);;-0.9
Armenia;2010;Rural population(percent growth rate per annum);;-0.4
Armenia;2010;Capital city population(thousands) ;Yerevan;1066
Armenia;2010;Capital city population(as a percentage of total population);Yerevan;37.0
Armenia;2010;Capital city population(as a percentage of total urban population);Yerevan;58.4
Armenia;2015;Urban population(percent);;63.1
Armenia;2015;Urban population(percent growth rate per annum);;0.2
Armenia;2015;Rural population(percent growth rate per annum);;0.5
Armenia;2015;Capital city population(thousands) ;Yerevan;1071
Armenia;2015;Capital city population(as a percentage of total population);Yerevan;36.7
Armenia;2015;Capital city population(as a percentage of total urban population);Yerevan;58.2
Armenia;2018;Urban population(percent);;63.1
Armenia;2018;Capital city population(thousands) ;Yerevan;1080
Aruba;2005;Urban population(percent);;44.9
Aruba;2005;Urban population(percent growth rate per annum);;1.1
Aruba;2005;Rural population(percent growth rate per annum);;2.6
Aruba;2010;Urban population(percent);;43.1
Aruba;2010;Urban population(percent growth rate per annum);;-0.5
Aruba;2010;Rural population(percent growth rate per annum);;1.0
Aruba;2015;Urban population(percent);;43.1
Aruba;2015;Urban population(percent growth rate per annum);;0.5
Aruba;2015;Rural population(percent growth rate per annum);;0.5
Aruba;2018;Urban population(percent);;43.4
Aruba;2018;Capital city population(thousands) ;Oranjestad;30
Australia;2005;Urban population(percent);;84.6
Australia;2005;Urban population(percent growth rate per annum);;1.3
Australia;2005;Rural population(percent growth rate per annum);;0.7
Australia;2005;Capital city population(thousands) ;Canberra;366
Australia;2005;Capital city population(as a percentage of total population);Canberra;1.8
Australia;2005;Capital city population(as a percentage of total urban population);Canberra;2.1
Australia;2010;Urban population(percent);;85.2
Australia;2010;Urban population(percent growth rate per annum);;1.9
Australia;2010;Rural population(percent growth rate per annum);;1.0
Australia;2010;Capital city population(thousands) ;Canberra;398
Australia;2010;Capital city population(as a percentage of total population);Canberra;1.8
Australia;2010;Capital city population(as a percentage of total urban population);Canberra;2.1
Australia;2015;Urban population(percent);;85.7
Australia;2015;Urban population(percent growth rate per annum);;1.6
Australia;2015;Rural population(percent growth rate per annum);;0.8
Australia;2015;Capital city population(thousands) ;Canberra;429
Australia;2015;Capital city population(as a percentage of total population);Canberra;1.8
Australia;2015;Capital city population(as a percentage of total urban population);Canberra;2.1
Australia;2018;Urban population(percent);;86.0
Australia;2018;Capital city population(thousands) ;Canberra;448
Austria;2005;Urban population(percent);;58.8
Austria;2005;Urban population(percent growth rate per annum);;0.0
Austria;2005;Rural population(percent growth rate per annum);;1.1
Austria;2005;Capital city population(thousands) ;Vienna;1641
Austria;2005;Capital city population(as a percentage of total population);Vienna;19.9
Austria;2005;Capital city population(as a percentage of total urban population);Vienna;33.8
Austria;2010;Urban population(percent);;57.4
Austria;2010;Urban population(percent growth rate per annum);;-0.1
Austria;2010;Rural population(percent growth rate per annum);;1.1
Austria;2010;Capital city population(thousands) ;Vienna;1731
Austria;2010;Capital city population(as a percentage of total population);Vienna;20.6
Austria;2010;Capital city population(as a percentage of total urban population);Vienna;35.9
Austria;2015;Urban population(percent);;57.7
Austria;2015;Urban population(percent growth rate per annum);;0.7
Austria;2015;Rural population(percent growth rate per annum);;0.5
Austria;2015;Capital city population(thousands) ;Vienna;1835
Austria;2015;Capital city population(as a percentage of total population);Vienna;21.1
Austria;2015;Capital city population(as a percentage of total urban population);Vienna;36.6
Austria;2018;Urban population(percent);;58.3
Austria;2018;Capital city population(thousands) ;Vienna;1901
Azerbaijan;2005;Urban population(percent);;52.4
Azerbaijan;2005;Urban population(percent growth rate per annum);;1.4
Azerbaijan;2005;Rural population(percent growth rate per annum);;0.6
Azerbaijan;2005;Capital city population(thousands) ;Baku;1867
Azerbaijan;2005;Capital city population(as a percentage of total population);Baku;21.9
Azerbaijan;2005;Capital city population(as a percentage of total urban population);Baku;41.7
Azerbaijan;2010;Urban population(percent);;53.4
Azerbaijan;2010;Urban population(percent growth rate per annum);;1.5
Azerbaijan;2010;Rural population(percent growth rate per annum);;0.7
Azerbaijan;2010;Capital city population(thousands) ;Baku;2062
Azerbaijan;2010;Capital city population(as a percentage of total population);Baku;22.8
Azerbaijan;2010;Capital city population(as a percentage of total urban population);Baku;42.7
Azerbaijan;2015;Urban population(percent);;54.7
Azerbaijan;2015;Urban population(percent growth rate per annum);;1.7
Azerbaijan;2015;Rural population(percent growth rate per annum);;0.7
Azerbaijan;2015;Capital city population(thousands) ;Baku;2206
Azerbaijan;2015;Capital city population(as a percentage of total population);Baku;22.9
Azerbaijan;2015;Capital city population(as a percentage of total urban population);Baku;41.9
Azerbaijan;2018;Urban population(percent);;55.7
Azerbaijan;2018;Capital city population(thousands) ;Baku;2286
Bahamas;2005;Urban population(percent);;82.2
Bahamas;2005;Urban population(percent growth rate per annum);;2.1
Bahamas;2005;Rural population(percent growth rate per annum);;1.8
Bahamas;2010;Urban population(percent);;82.4
Bahamas;2010;Urban population(percent growth rate per annum);;1.9
Bahamas;2010;Rural population(percent growth rate per annum);;1.6
Bahamas;2015;Urban population(percent);;82.7
Bahamas;2015;Urban population(percent growth rate per annum);;1.5
Bahamas;2015;Rural population(percent growth rate per annum);;1.0
Bahamas;2018;Urban population(percent);;83.0
Bahamas;2018;Capital city population(thousands) ;Nassau;280
Bahrain;2005;Urban population(percent);;88.4
Bahrain;2005;Urban population(percent growth rate per annum);;5.8
Bahrain;2005;Rural population(percent growth rate per annum);;5.7
Bahrain;2005;Capital city population(thousands) ;Manama;198
Bahrain;2005;Capital city population(as a percentage of total population);Manama;22.3
Bahrain;2005;Capital city population(as a percentage of total urban population);Manama;25.2
Bahrain;2010;Urban population(percent);;88.6
Bahrain;2010;Urban population(percent growth rate per annum);;6.7
Bahrain;2010;Rural population(percent growth rate per annum);;6.3
Bahrain;2010;Capital city population(thousands) ;Manama;292
Bahrain;2010;Capital city population(as a percentage of total population);Manama;23.5
Bahrain;2010;Capital city population(as a percentage of total urban population);Manama;26.6
Bahrain;2015;Urban population(percent);;89.0
Bahrain;2015;Urban population(percent growth rate per annum);;2.1
Bahrain;2015;Rural population(percent growth rate per annum);;1.4
Bahrain;2015;Capital city population(thousands) ;Manama;441
Bahrain;2015;Capital city population(as a percentage of total population);Manama;32.1
Bahrain;2015;Capital city population(as a percentage of total urban population);Manama;36.1
Bahrain;2018;Urban population(percent);;89.3
Bahrain;2018;Capital city population(thousands) ;Manama;565
Bangladesh;2005;Urban population(percent);;26.8
Bangladesh;2005;Urban population(percent growth rate per annum);;4.3
Bangladesh;2005;Rural population(percent growth rate per annum);;0.9
Bangladesh;2005;Capital city population(thousands) ;Dhaka;12331
Bangladesh;2005;Capital city population(as a percentage of total population);Dhaka;8.6
Bangladesh;2005;Capital city population(as a percentage of total urban population);Dhaka;32.1
Bangladesh;2010;Urban population(percent);;30.5
Bangladesh;2010;Urban population(percent growth rate per annum);;3.7
Bangladesh;2010;Rural population(percent growth rate per annum);;0.2
Bangladesh;2010;Capital city population(thousands) ;Dhaka;14731
Bangladesh;2010;Capital city population(as a percentage of total population);Dhaka;9.7
Bangladesh;2010;Capital city population(as a percentage of total urban population);Dhaka;31.8
Bangladesh;2015;Urban population(percent);;34.3
Bangladesh;2015;Urban population(percent growth rate per annum);;3.5
Bangladesh;2015;Rural population(percent growth rate per annum);;0.0
Bangladesh;2015;Capital city population(thousands) ;Dhaka;17597
Bangladesh;2015;Capital city population(as a percentage of total population);Dhaka;10.9
Bangladesh;2015;Capital city population(as a percentage of total urban population);Dhaka;31.8
Bangladesh;2018;Urban population(percent);;36.6
Bangladesh;2018;Capital city population(thousands) ;Dhaka;19578
Barbados;2005;Urban population(percent);;32.8
Barbados;2005;Urban population(percent growth rate per annum);;-0.3
Barbados;2005;Rural population(percent growth rate per annum);;0.6
Barbados;2010;Urban population(percent);;31.9
Barbados;2010;Urban population(percent growth rate per annum);;-0.2
Barbados;2010;Rural population(percent growth rate per annum);;0.7
Barbados;2015;Urban population(percent);;31.2
Barbados;2015;Urban population(percent growth rate per annum);;-0.1
Barbados;2015;Rural population(percent growth rate per annum);;0.5
Barbados;2018;Urban population(percent);;31.1
Barbados;2018;Capital city population(thousands) ;Bridgetown;89
Belarus;2005;Urban population(percent);;72.4
Belarus;2005;Urban population(percent growth rate per annum);;0.0
Belarus;2005;Rural population(percent growth rate per annum);;-2.3
Belarus;2005;Capital city population(thousands) ;Minsk;1775
Belarus;2005;Capital city population(as a percentage of total population);Minsk;18.4
Belarus;2005;Capital city population(as a percentage of total urban population);Minsk;25.5
Belarus;2010;Urban population(percent);;74.7
Belarus;2010;Urban population(percent growth rate per annum);;0.3
Belarus;2010;Rural population(percent growth rate per annum);;-2.1
Belarus;2010;Capital city population(thousands) ;Minsk;1850
Belarus;2010;Capital city population(as a percentage of total population);Minsk;19.5
Belarus;2010;Capital city population(as a percentage of total urban population);Minsk;26.2
Belarus;2015;Urban population(percent);;77.2
Belarus;2015;Urban population(percent growth rate per annum);;0.7
Belarus;2015;Rural population(percent growth rate per annum);;-2.1
Belarus;2015;Capital city population(thousands) ;Minsk;1945
Belarus;2015;Capital city population(as a percentage of total population);Minsk;20.5
Belarus;2015;Capital city population(as a percentage of total urban population);Minsk;26.6
Belarus;2018;Urban population(percent);;78.6
Belarus;2018;Capital city population(thousands) ;Minsk;2005
Belgium;2005;Urban population(percent);;97.4
Belgium;2005;Urban population(percent growth rate per annum);;0.6
Belgium;2005;Rural population(percent growth rate per annum);;-1.5
Belgium;2005;Capital city population(thousands) ;Brussels;1853
Belgium;2005;Capital city population(as a percentage of total population);Brussels;17.6
Belgium;2005;Capital city population(as a percentage of total urban population);Brussels;18.0
Belgium;2010;Urban population(percent);;97.7
Belgium;2010;Urban population(percent growth rate per annum);;0.8
Belgium;2010;Rural population(percent growth rate per annum);;-1.3
Belgium;2010;Capital city population(thousands) ;Brussels;1926
Belgium;2010;Capital city population(as a percentage of total population);Brussels;17.6
Belgium;2010;Capital city population(as a percentage of total urban population);Brussels;18.0
Belgium;2015;Urban population(percent);;97.9
Belgium;2015;Urban population(percent growth rate per annum);;0.7
Belgium;2015;Rural population(percent growth rate per annum);;-1.4
Belgium;2015;Capital city population(thousands) ;Brussels;2002
Belgium;2015;Capital city population(as a percentage of total population);Brussels;17.7
Belgium;2015;Capital city population(as a percentage of total urban population);Brussels;18.1
Belgium;2018;Urban population(percent);;98.0
Belgium;2018;Capital city population(thousands) ;Brussels;2050
Belize;2005;Urban population(percent);;45.3
Belize;2005;Urban population(percent growth rate per annum);;2.7
Belize;2005;Rural population(percent growth rate per annum);;2.7
Belize;2010;Urban population(percent);;45.2
Belize;2010;Urban population(percent growth rate per annum);;2.5
Belize;2010;Rural population(percent growth rate per annum);;2.6
Belize;2015;Urban population(percent);;45.4
Belize;2015;Urban population(percent growth rate per annum);;2.3
Belize;2015;Rural population(percent growth rate per annum);;2.2
Belize;2018;Urban population(percent);;45.7
Belize;2018;Capital city population(thousands) ;Belmopan;23
Benin;2005;Urban population(percent);;40.5
Benin;2005;Urban population(percent growth rate per annum);;4.1
Benin;2005;Rural population(percent growth rate per annum);;2.3
Benin;2010;Urban population(percent);;43.1
Benin;2010;Urban population(percent growth rate per annum);;4.1
Benin;2010;Rural population(percent growth rate per annum);;2.0
Benin;2015;Urban population(percent);;45.7
Benin;2015;Urban population(percent growth rate per annum);;4.0
Benin;2015;Rural population(percent growth rate per annum);;1.9
Benin;2018;Urban population(percent);;47.3
Benin;2018;Capital city population(thousands) ;Porto-Novo;285
Bermuda;2005;Urban population(percent);;100.0
Bermuda;2005;Urban population(percent growth rate per annum);;0.3
Bermuda;2005;Rural population(percent growth rate per annum);;0.0
Bermuda;2010;Urban population(percent);;100.0
Bermuda;2010;Urban population(percent growth rate per annum);;-0.4
Bermuda;2010;Rural population(percent growth rate per annum);;0.0
Bermuda;2015;Urban population(percent);;100.0
Bermuda;2015;Urban population(percent growth rate per annum);;-0.6
Bermuda;2015;Rural population(percent growth rate per annum);;0.0
Bermuda;2018;Urban population(percent);;100.0
Bermuda;2018;Capital city population(thousands) ;Hamilton;10
Bhutan;2005;Urban population(percent);;31.0
Bhutan;2005;Urban population(percent growth rate per annum);;6.7
Bhutan;2005;Rural population(percent growth rate per annum);;1.2
Bhutan;2010;Urban population(percent);;34.8
Bhutan;2010;Urban population(percent growth rate per annum);;4.4
Bhutan;2010;Rural population(percent growth rate per annum);;0.9
Bhutan;2015;Urban population(percent);;38.7
Bhutan;2015;Urban population(percent growth rate per annum);;3.7
Bhutan;2015;Rural population(percent growth rate per annum);;0.3
Bhutan;2018;Urban population(percent);;40.9
Bhutan;2018;Capital city population(thousands) ;Thimphu;203
Bolivia (Plurin. State of);2005;Urban population(percent);;64.2
Bolivia (Plurin. State of);2005;Urban population(percent growth rate per annum);;2.6
Bolivia (Plurin. State of);2005;Rural population(percent growth rate per annum);;0.5
Bolivia (Plurin. State of);2010;Urban population(percent);;66.4
Bolivia (Plurin. State of);2010;Urban population(percent growth rate per annum);;2.4
Bolivia (Plurin. State of);2010;Rural population(percent growth rate per annum);;0.4
Bolivia (Plurin. State of);2015;Urban population(percent);;68.4
Bolivia (Plurin. State of);2015;Urban population(percent growth rate per annum);;2.1
Bolivia (Plurin. State of);2015;Rural population(percent growth rate per annum);;0.4
Bolivia (Plurin. State of);2018;Urban population(percent);;69.4
Bolivia (Plurin. State of);2018;Capital city population(thousands) ;Sucre;278
Bonaire St. Eustatius & Saba;2005;Urban population(percent);;74.8
Bonaire St. Eustatius & Saba;2005;Urban population(percent growth rate per annum);;0.0
Bonaire St. Eustatius & Saba;2005;Rural population(percent growth rate per annum);;0.2
Bonaire St. Eustatius & Saba;2010;Urban population(percent);;74.7
Bonaire St. Eustatius & Saba;2010;Urban population(percent growth rate per annum);;7.5
Bonaire St. Eustatius & Saba;2010;Rural population(percent growth rate per annum);;7.5
Bonaire St. Eustatius & Saba;2015;Urban population(percent);;74.8
Bonaire St. Eustatius & Saba;2015;Urban population(percent growth rate per annum);;3.2
Bonaire St. Eustatius & Saba;2015;Rural population(percent growth rate per annum);;3.2
Bonaire St. Eustatius & Saba;2018;Urban population(percent);;74.9
Bonaire St. Eustatius & Saba;2018;Capital city population(thousands) ;Kralendijk;11
Bosnia and Herzegovina;2005;Urban population(percent);;44.0
Bosnia and Herzegovina;2005;Urban population(percent growth rate per annum);;0.8
Bosnia and Herzegovina;2005;Rural population(percent growth rate per annum);;-0.5
Bosnia and Herzegovina;2005;Capital city population(thousands) ;Sarajevo;342
Bosnia and Herzegovina;2005;Capital city population(as a percentage of total population);Sarajevo;9.0
Bosnia and Herzegovina;2005;Capital city population(as a percentage of total urban population);Sarajevo;20.6
Bosnia and Herzegovina;2010;Urban population(percent);;45.6
Bosnia and Herzegovina;2010;Urban population(percent growth rate per annum);;0.4
Bosnia and Herzegovina;2010;Rural population(percent growth rate per annum);;-0.9
Bosnia and Herzegovina;2010;Capital city population(thousands) ;Sarajevo;342
Bosnia and Herzegovina;2010;Capital city population(as a percentage of total population);Sarajevo;9.2
Bosnia and Herzegovina;2010;Capital city population(as a percentage of total urban population);Sarajevo;20.2
Bosnia and Herzegovina;2015;Urban population(percent);;47.2
Bosnia and Herzegovina;2015;Urban population(percent growth rate per annum);;-0.3
Bosnia and Herzegovina;2015;Rural population(percent growth rate per annum);;-1.6
Bosnia and Herzegovina;2015;Capital city population(thousands) ;Sarajevo;342
Bosnia and Herzegovina;2015;Capital city population(as a percentage of total population);Sarajevo;9.7
Bosnia and Herzegovina;2015;Capital city population(as a percentage of total urban population);Sarajevo;20.5
Bosnia and Herzegovina;2018;Urban population(percent);;48.2
Bosnia and Herzegovina;2018;Capital city population(thousands) ;Sarajevo;343
Botswana;2005;Urban population(percent);;55.9
Botswana;2005;Urban population(percent growth rate per annum);;2.4
Botswana;2005;Rural population(percent growth rate per annum);;0.2
Botswana;2010;Urban population(percent);;62.4
Botswana;2010;Urban population(percent growth rate per annum);;3.8
Botswana;2010;Rural population(percent growth rate per annum);;-1.5
Botswana;2015;Urban population(percent);;67.2
Botswana;2015;Urban population(percent growth rate per annum);;3.3
Botswana;2015;Rural population(percent growth rate per annum);;-0.9
Botswana;2018;Urban population(percent);;69.4
Botswana;2018;Capital city population(thousands) ;Gaborone;269
Brazil;2005;Urban population(percent);;82.8
Brazil;2005;Urban population(percent growth rate per annum);;1.7
Brazil;2005;Rural population(percent growth rate per annum);;-0.5
Brazil;2005;Capital city population(thousands) ;Brasilia;3301
Brazil;2005;Capital city population(as a percentage of total population);Brasilia;1.8
Brazil;2005;Capital city population(as a percentage of total urban population);Brasilia;2.1
Brazil;2010;Urban population(percent);;84.3
Brazil;2010;Urban population(percent growth rate per annum);;1.4
Brazil;2010;Rural population(percent growth rate per annum);;-0.8
Brazil;2010;Capital city population(thousands) ;Brasilia;3710
Brazil;2010;Capital city population(as a percentage of total population);Brasilia;1.9
Brazil;2010;Capital city population(as a percentage of total urban population);Brasilia;2.2
Brazil;2015;Urban population(percent);;85.8
Brazil;2015;Urban population(percent growth rate per annum);;1.2
Brazil;2015;Rural population(percent growth rate per annum);;-1.0
Brazil;2015;Capital city population(thousands) ;Brasilia;4168
Brazil;2015;Capital city population(as a percentage of total population);Brasilia;2.0
Brazil;2015;Capital city population(as a percentage of total urban population);Brasilia;2.4
Brazil;2018;Urban population(percent);;86.6
Brazil;2018;Capital city population(thousands) ;Brasilia;4470
British Virgin Islands;2005;Urban population(percent);;43.2
British Virgin Islands;2005;Urban population(percent growth rate per annum);;3.0
British Virgin Islands;2005;Rural population(percent growth rate per annum);;1.8
British Virgin Islands;2010;Urban population(percent);;44.8
British Virgin Islands;2010;Urban population(percent growth rate per annum);;4.0
British Virgin Islands;2010;Rural population(percent growth rate per annum);;2.7
British Virgin Islands;2015;Urban population(percent);;46.6
British Virgin Islands;2015;Urban population(percent growth rate per annum);;2.8
British Virgin Islands;2015;Rural population(percent growth rate per annum);;1.4
British Virgin Islands;2018;Urban population(percent);;47.7
British Virgin Islands;2018;Capital city population(thousands) ;Road Town;15
Brunei Darussalam;2005;Urban population(percent);;73.2
Brunei Darussalam;2005;Urban population(percent growth rate per annum);;2.4
Brunei Darussalam;2005;Rural population(percent growth rate per annum);;0.4
Brunei Darussalam;2010;Urban population(percent);;75.0
Brunei Darussalam;2010;Urban population(percent growth rate per annum);;1.7
Brunei Darussalam;2010;Rural population(percent growth rate per annum);;-0.1
Brunei Darussalam;2015;Urban population(percent);;76.7
Brunei Darussalam;2015;Urban population(percent growth rate per annum);;1.9
Brunei Darussalam;2015;Rural population(percent growth rate per annum);;0.0
Brunei Darussalam;2018;Urban population(percent);;77.6
Brunei Darussalam;2018;Capital city population(thousands) ;Bandar Seri Begawan;41
Bulgaria;2005;Urban population(percent);;70.6
Bulgaria;2005;Urban population(percent growth rate per annum);;-0.3
Bulgaria;2005;Rural population(percent growth rate per annum);;-1.9
Bulgaria;2005;Capital city population(thousands) ;Sofia;1169
Bulgaria;2005;Capital city population(as a percentage of total population);Sofia;15.2
Bulgaria;2005;Capital city population(as a percentage of total urban population);Sofia;21.6
Bulgaria;2010;Urban population(percent);;72.3
Bulgaria;2010;Urban population(percent growth rate per annum);;-0.3
Bulgaria;2010;Rural population(percent growth rate per annum);;-1.9
